"","ppg"
"913",85.347984
"914",85.11116
"915",84.66926
"916",84.11017
"917",83.52422
"918",82.984665
"919",82.53544
"920",82.196075
"921",81.94705
"922",81.75662
"923",81.5906
"924",81.427025
"925",81.253685
"926",81.08034
"927",80.921646
"928",80.78737
"929",80.6775
"930",80.58228
"931",80.49683
"932",80.4065
"933",80.306404
"934",80.19165
"935",80.059814
"936",79.90845
"937",79.73998
"938",79.554436
"939",79.35668
"940",79.15404
"941",78.95384
"942",78.75609
"943",78.56321
"944",78.37766
"945",78.20187
"946",78.0383
"947",77.89426
"948",77.769745
"949",77.66476
"950",77.576866
"951",77.49874
"952",77.43038
"953",77.37423
"954",77.330284
"955",77.30099
"956",77.28878
"957",77.29366
"958",77.31075
"959",77.33517
"960",77.36446
"961",77.39376
"962",77.41573
"963",77.43038
"964",77.43282
"965",77.42306
"966",77.3962
"967",77.3547
"968",77.32296
"969",77.37911
"970",77.64767
"971",78.24338
"972",79.200424
"973",80.45533
"974",81.864044
"975",83.2166
"976",84.3299
"977",85.09407
"978",85.48226
"979",85.52865
"980",85.29427
"981",84.857254
"982",84.300606
"983",83.70489
"984",83.13847
"985",82.6453
"986",82.24246
"987",81.92752
"988",81.685814
"989",81.48562
"990",81.31228
"991",81.163345
"992",81.03639
"993",80.938736
"994",80.87038
"995",80.82887
"996",80.79225
"997",80.75319
"998",80.69703
"999",80.61646
"1000",80.5066
"1001",80.36744
"1002",80.20386
"1003",80.01587
"1004",79.81079
"1005",79.588615
"1006",79.361565
"1007",79.13451
"1008",78.91234
"1009",78.70237
"1010",78.51194
"1011",78.34348
"1012",78.19699
"1013",78.07492
"1014",77.9675
"1015",77.872284
"1016",77.77951
"1017",77.68917
"1018",77.591515
"1019",77.503624
"1020",77.467
"1021",77.57198
"1022",77.92111
"1023",78.58274
"1024",79.54955
"1025",80.73121
"1026",81.971466
"1027",83.09453
"1028",83.95636
"1029",84.491035
"1030",84.701
"1031",84.62287
"1032",84.31281
"1033",83.85382
"1034",83.32159
"1035",82.78203
"1036",82.2913
"1037",81.86893
"1038",81.52712
"1039",81.24147
"1040",80.99733
"1041",80.77272
"1042",80.56031
"1043",80.36256
"1044",80.19653
"1045",80.0647
"1046",79.974365
"1047",79.920654
"1048",79.88403
"1049",79.84497
"1050",79.7937
"1051",79.72045
"1052",79.61547
"1053",79.48119
"1054",79.32006
"1055",79.13695
"1056",78.93187
"1057",78.712135
"1058",78.49485
"1059",78.28489
"1060",78.08713
"1061",77.908905
"1062",77.7551
"1063",77.62325
"1064",77.50851
"1065",77.41329
"1066",77.330284
"1067",77.264366
"1068",77.205765
"1069",77.14961
"1070",77.0959
"1071",77.04463
"1072",77.01289
"1073",77.066605
"1074",77.31808
"1075",77.86984
"1076",78.76341
"1077",79.954834
"1078",81.31228
"1079",82.652626
"1080",83.790344
"1081",84.6009
"1082",85.050125
"1083",85.16243
"1084",84.98665
"1085",84.60334
"1086",84.102844
"1087",83.57061
"1088",83.072556
"1089",82.6453
"1090",82.31327
"1091",82.054474
"1092",81.84451
"1093",81.64919
"1094",81.449
"1095",81.231705
"1096",81.01442
"1097",80.80934
"1098",80.63355
"1099",80.499275
"1100",80.40162
"1101",80.32838
"1102",80.26246
"1103",80.19653
"1104",80.113525
"1105",80.00366
"1106",79.86694
"1107",79.7058
"1108",79.520256
"1109",79.32006
"1110",79.11009
"1111",78.90013
"1112",78.68772
"1113",78.47776
"1114",78.2678
"1115",78.065155
"1116",77.87717
"1117",77.7087
"1118",77.56954
"1119",77.454796
"1120",77.366905
"1121",77.31075
"1122",77.279015
"1123",77.26681
"1124",77.264366
"1125",77.26681
"1126",77.261925
"1127",77.242386
"1128",77.205765
"1129",77.16182
"1130",77.14473
"1131",77.23262
"1132",77.54757
"1133",78.1799
"1134",79.15648
"1135",80.40894
"1136",81.79324
"1137",83.11894
"1138",84.21271
"1139",84.972
"1140",85.367516
"1141",85.42611
"1142",85.20393
"1143",84.791336
"1144",84.27619
"1145",83.74883
"1146",83.27276
"1147",82.882126
"1148",82.58671
"1149",82.36454
"1150",82.178986
"1151",81.99832
"1152",81.80301
"1153",81.583275
"1154",81.3489
"1155",81.1194
"1156",80.91676
"1157",80.743416
"1158",80.601814
"1159",80.48463
"1160",80.38453
"1161",80.28443
"1162",80.16968
"1163",80.03296
"1164",79.869385
"1165",79.67895
"1166",79.47143
"1167",79.25414
"1168",79.029526
"1169",78.80003
"1170",78.56809
"1171",78.34104
"1172",78.12131
"1173",77.91867
"1174",77.738
"1175",77.58175
"1176",77.44991
"1177",77.33761
"1178",77.24971
"1179",77.18379
"1180",77.134964
"1181",77.09834
"1182",77.07393
"1183",77.0544
"1184",77.03731
"1185",77.015335
"1186",76.998245
"1187",76.981155
"1188",76.97139
"1189",76.96651
"1190",76.964066
"1191",76.96651
